Nation,Year,Month,Mean,Stddev,Min,Max
Israel,2013,6,63.67392,27.06823,5.0,100.0
Israel,2017,10,64.3456,20.78579,14.0,100.0
United States,2014,10,73.193,19.92576,7.0,100.0
Israel,2016,5,59.28562,25.58153,8.0,100.0
United States,2016,2,62.24548,23.56664,6.0,100.0
United States,2016,12,69.6365,21.2997,7.0,100.0
United States,2017,4,62.04894,24.2042,5.0,100.0
Israel,2015,5,74.81944,21.59621,19.0,100.0
United States,2012,10,63.44102,22.4504,5.0,100.0
Israel,2013,7,73.28472,25.21636,9.0,100.0
United States,2016,11,66.09016,22.74431,5.0,100.0
United States,2013,11,68.19074,20.63283,5.0,100.0
United States,2013,1,64.56124,22.21956,5.0,100.0
Israel,2013,5,54.08491,23.23882,6.0,100.0
Israel,2016,12,73.84465,19.51571,18.0,100.0
Israel,2017,9,67.20102,20.33167,11.0,100.0
Israel,2014,7,68.82258,24.01716,7.0,100.0
Israel,2016,4,60.96597,26.72606,6.0,100.0
