datetime,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque,Denver,San Antonio,Dallas,Houston,Kansas City,Minneapolis,Saint Louis,Chicago,Nashville,Indianapolis,Atlanta,Detroit,Jacksonville,Charlotte,Miami,Pittsburgh,Philadelphia,New York,Boston,Beersheba,Tel Aviv District,Eilat,Haifa,Nahariyya,Jerusalem
2012-10-03 01:00:00,299.05,302.69,294.38,303.69,299.69,306.22,308.97,294.38,287.07,291.52,296.83,295.98,295.36,289.38,288.74,287.94,290.52,286.56,295.51,287.58,298.66,290.36,298.27,288.34,289.28,288.99,288.05,297.59,299.21,294.15,302.4,302.4,300.2
2012-10-03 02:00:00,296.42,300.52,292.28,302.02,298.08,303.27,306.11,291.86,285.71,290.9,296.17,294.15,294.94,288.61,288.15,287.31,289.74,286.15,295.16,287.14,298.52,290.48,298.08,288.16,289.06,288.8,287.62,297.59,299.49,293.15,302.4,302.4,300.2
2012-10-03 03:00:00,294.4,298.56,291.12,300.42,297.74,301.1,304.29,291.42,284.66,290.76,295.99,293.55,293.73,287.16,287.86,287.09,289.91,285.86,295.21,286.96,298.07,291.07,297.88,288.05,288.96,288.6,287.07,297.04,299.21,298.71,302.4,302.4,300.2
2012-10-03 04:00:00,293.37,297.94,289.93,299.64,295.85,300.45,302.52,291.71,283.5,290.63,295.79,293195,292.64,285.45,287.13,286.7,289.41,285.15,295.1,286.99,297.95,291.54,297.92,287.61,288.63,288.54,286.63,297.59,298.72,300.16,302.4,302.4,300.2
