Nation,Year,Month,Mean,Stddev,Min,Max
Israel,2013,4,1005.65371,17.7239,957.0,1031.0
Israel,2013,2,1005.72148,17.13653,956.0,1032.0
United States,2017,2,1008.81448,29.79891,804.0,1043.0
Israel,2015,6,1004.45532,19.89302,951.0,1029.0
United States,2012,12,1015.51199,13.34201,807.0,1044.0
Israel,2017,1,1014.17697,14.38681,969.0,1036.0
Israel,2016,1,1015.75627,14.14716,966.0,1042.0
Israel,2015,1,1007.59677,23.50078,936.0,1042.0
Israel,2013,6,1004.33411,13.90332,951.0,1030.0
Israel,2017,10,1009.71958,12.92709,968.0,1030.0
United States,2014,10,1026.89342,5.74196,999.0,1049.0
Israel,2016,5,1007.71976,12.45269,965.0,1028.0
United States,2016,2,1018.8592,7.88874,985.0,1044.0
United States,2016,12,1020.04525,8.78289,812.0,1044.0
United States,2017,4,1015.37865,7.02747,988.0,1046.0
Israel,2015,5,1001.86178,23.225,951.0,1034.0
United States,2012,10,1014.73561,11.93187,807.0,1049.0
Israel,2013,7,1000.91465,13.75019,936.0,1021.0
United States,2016,11,1018.37054,10.14809,814.0,1041.0
United States,2013,11,1020.78703,17.42865,828.0,1060.0
United States,2013,1,1019.90134,18.84809,805.0,1057.0
Israel,2013,5,1001.7002,18.27738,956.0,1025.0
Israel,2016,12,1014.98746,14.07988,968.0,1038.0
Israel,2017,9,1007.11481,12.93179,964.0,1028.0
Israel,2014,7,1002.82348,13.51462,951.0,1099.0
Israel,2016,4,1008.23634,13.66629,963.0,1032.0
